id,fen,plies
KQQRPK,8/8/8/8/2P1R1QQ/8/4K3/k7 w - - ,7
KQRPKN,8/R7/8/4Q3/8/Pk1n4/8/4K3 w - - ,101
KQRPKB,8/8/4Q3/3b4/8/8/K1kP4/R7 w - - ,133
KQRPKR,8/8/8/8/2k5/8/1R4P1/r2K2Q1 w - - ,149
KQRPKQ,8/4R3/8/8/8/K1q1P1Q1/8/k7 w - - ,253
KRPKNN,8/1P1k4/2R5/n7/1n6/K7/8/8 w - - ,505
KRPKBN,8/6P1/8/7n/5K2/4R1b1/8/1k6 w - - ,407
KRPKRN,8/5R2/8/8/2k2n2/5K2/6P1/4r3 w - - ,149
KRPKQN,7n/6P1/k7/8/1R6/8/7q/5K2 w - - ,157
KRPKBB,8/8/2P5/2kb2R1/4b1K1/8/8/8 w - - ,271
KRPKRB,8/5R2/8/8/2k1rb2/8/4K1P1/8 w - - ,151
KRPKQB,bK6/6P1/8/2q5/8/1k6/8/R7 w - - ,179
KRPKRR,8/5R2/8/8/2k2r2/5K2/6P1/4r3 w - - ,149
KRPKQR,6R1/5P2/8/2k1r2q/8/K7/8/8 w - - ,235
KRPKQQ,8/7P/2q5/8/8/2k5/6RK/q7 w - - ,159
KQQQPK,8/1Q6/1Q6/7Q/1P6/8/4K3/k7 w - - ,7
KQQPKN,8/8/8/8/P2Q4/K4Q2/2n5/1k6 w - - ,47
KQQPKB,8/8/8/3b4/4Q3/P1k5/K6Q/8 w - - ,31
KQQPKR,k7/P5Q1/Q7/8/8/8/r7/K7 w - - ,91
KQQPKQ,k1K1q3/8/8/8/8/8/6P1/5Q1Q w - - ,243
KQPKNN,8/2n5/8/K7/1Pn5/8/2k5/7Q w - - ,159
KQPKBN,1K6/3n4/2k3P1/4Q3/8/8/5b2/8 w - - ,111
KQPKRN,8/2n5/8/8/1K3r2/Q7/2kP4/8 w - - ,219
KQPKQN,4n1Q1/8/8/8/2K5/4P3/k4q2/8 w - - ,255
KQPKBB,8/8/P7/8/3k4/4b3/4b3/5QK1 w - - ,167
KQPKRB,8/1kb5/8/8/3r4/8/4P3/2K1Q3 w - - ,309
KQPKQB,4b3/8/8/8/6Q1/k1K1P3/5q2/8 w - - ,255
KQPKRR,8/1k2P3/8/4K3/8/8/2r4r/Q7 w - - ,329
KQPKQR,4r3/8/8/8/8/4P3/1k1K1Q2/1q6 w - - ,251
KQPKQQ,2Q5/8/7q/8/8/4P3/3q4/k1K5 w - - ,247
KPKNNN,n7/8/5P2/k6K/8/8/8/n6n w - - ,163
KPKBNN,8/1P3n2/1b2K3/n7/8/8/8/k7 w - - ,179
KPKRNN,7n/5P2/1r6/8/8/k2K4/6n1/8 w - - ,163
KPKQNN,1n1n2q1/2P2K2/8/8/8/8/k7/8 w - - ,147
KPKBBN,8/bb3P2/8/8/8/2k5/8/1K1n4 w - - ,229
KPKRBN,1n5r/P7/1b6/8/8/k7/8/4K3 w - - ,159
KPKQBN,8/3P4/8/8/8/2k5/8/Kq2n2b w - - ,109
KPKRRN,k7/2P4r/8/8/8/3r4/8/1nK5 w - - ,143
KPKQRN,1n1q4/1KP5/8/8/8/8/4r3/1k6 w - - ,135
KPKQQN,8/6P1/8/8/8/2K2n2/k7/5q1q w - - ,47
KPKBBB,8/4P3/8/4b1b1/8/7b/5K2/3k4 w - - ,195
KPKRBB,5b1r/P7/k7/8/8/8/4b1K1/8 w - - ,179
KPKQBB,1K6/2Pkb3/4b3/8/8/8/8/7q w - - ,167
KPKRRB,8/2Pr4/7b/5r2/8/8/8/2k4K w - - ,143
KPKQRB,3q4/2P5/7b/7r/8/8/8/1k4K1 w - - ,139
KPKQQB,qk4q1/5P2/6b1/1K6/8/8/8/8 w - - ,47
KPKRRR,4K3/Pr6/6r1/8/k7/8/8/r7 w - - ,101
KPKQRR,3qK3/2P5/3k2r1/8/8/8/8/r7 w - - ,99
KPKQQR,8/P7/5q2/5r2/8/1K6/7q/k7 w - - ,77
KPKQQQ,k4q2/4P3/2K5/7q/8/8/3q4/8 w - - ,19
KNNNKP,8/7p/8/8/8/2NN4/3k2K1/N7 w - - ,217
KBNNKP,8/8/8/1kB4p/2N3K1/8/8/N7 w - - ,215
KRNNKP,8/8/8/p7/1K6/4R3/3k4/6NN w - - ,213
KQNNKP,8/8/8/6p1/6KQ/2N5/8/k2N4 w - - ,183
KNNKNP,7n/1K2p3/8/8/8/3N4/3N4/k7 w - - ,275
KNNKBP,1N6/8/p7/8/8/8/b1k1N3/K7 w - - ,229
KNNKRP,1N6/8/p7/8/8/8/r1k1N3/K7 w - - ,229
KNNKQP,1N6/8/p7/8/8/8/q1k1N3/K7 w - - ,229
KBBNKP,8/8/3K4/8/8/kB1B4/1p6/N7 w - - ,205
KRBNKP,R3B3/N7/8/8/8/3K4/6p1/1k6 w - - ,243
KQBNKP,Q3B3/N7/8/8/8/8/1p6/K1k5 w - - ,145
KBNKNP,k7/6p1/8/1n1K4/8/5N2/8/4B3 w - - ,255
KBNKBP,8/8/3b4/2K5/1p6/8/k7/5B1N w - - ,209
KBNKRP,8/8/3r4/2K5/1p6/8/k7/5B1N w - - ,209
KBNKQP,8/8/3q4/2K5/1p6/8/k7/5B1N w - - ,209
KRRNKP,N7/8/8/5R2/8/7R/3p4/2k1K3 w - - ,177
KQRNKP,4Q2R/8/8/8/8/8/1p6/K1k3N1 w - - ,97
KRNKNP,8/8/8/8/k7/8/N2p2R1/4n1K1 w - - ,503
KRNKBP,5N2/4K3/8/5R2/1p6/8/k6b/8 w - - ,387
KRNKRP,k7/8/1K4p1/8/r7/8/3N4/3R4 w - - ,103
KRNKQP,8/8/8/4R3/8/3p2q1/3k3N/K7 w - - ,61
KQQNKP,8/Q7/2Q5/2N5/8/8/1p6/K1k5 w - - ,73
KQNKNP,8/8/8/2k5/2nN4/5Q2/1p1K4/8 w - - ,131
KQNKBP,3K4/8/8/b7/8/6Q1/kp1N4/8 w - - ,101
KQNKRP,8/2r4K/8/2N5/2p5/8/k7/7Q w - - ,205
KQNKQP,8/3k1K2/5p2/6N1/8/8/6Q1/q7 w - - ,129
KNKNNP,8/8/1n3n2/8/5N2/8/p1K5/k7 w - - ,13
KNKBNP,8/8/8/b7/8/pn6/3N4/k1K5 w - - ,15
KNKRNP,8/8/8/8/3N4/pn6/3r4/k1K5 w - - ,15
KNKQNP,8/8/8/q7/8/pn6/3N4/k1K5 w - - ,15
KNKBBP,8/8/8/b7/8/pb6/3N4/k1K5 w - - ,15
KNKRBP,8/8/8/8/3N4/pb6/3r4/k1K5 w - - ,15
KNKQBP,8/8/8/q7/8/pb6/3N4/k1K5 w - - ,15
KNKRRP,8/8/8/8/3N4/pr6/3r4/k1K5 w - - ,15
KNKQRP,8/8/8/8/3N4/pq6/3r4/k1K5 w - - ,15
KNKQQP,8/8/8/q7/8/pq6/3N4/k1K5 w - - ,15
KBBBKP,8/8/2B5/8/8/8/1Bkp4/B3K3 w - - ,147
KRBBKP,8/8/8/8/8/8/BR1p4/B1k1K3 w - - ,151
KQBBKP,8/8/8/8/8/4Q3/1pkB3B/K7 w - - ,157
KBBKNP,K7/8/8/k7/Bp6/7n/7B/8 w - - ,261
KBBKBP,8/8/8/2k5/1b5B/3B2p1/4K3/8 w - - ,149
KBBKRP,8/8/8/2k5/6B1/1p2r3/8/3KB3 w - - ,151
KBBKQP,8/8/8/2k5/1q5B/3B2p1/4K3/8 w - - ,149
KRRBKP,8/8/8/7R/8/8/1p6/K1k3BR w - - ,145
KQRBKP,Q7/R7/8/1B6/8/8/1p6/K1k5 w - - ,111
KRBKNP,8/4K3/2n5/8/6R1/3p2B1/3k4/8 w - - ,457
KRBKBP,8/8/8/8/8/K7/1pkb4/3R3B w - - ,201
KRBKRP,k2r4/8/8/Kp6/8/7R/8/3B4 w - - ,153
KRBKQP,6R1/8/7B/4q3/8/5K2/6p1/k7 w - - ,75
KQQBKP,3Q4/Q7/8/8/2B5/8/1p6/K1k5 w - - ,59
KQBKNP,8/6Q1/8/3n4/1K3B2/8/1pk5/8 w - - ,125
KQBKBP,5B2/8/1K6/8/2k5/8/7p/Q5b1 w - - ,115
KQBKRP,8/7Q/8/1pr4K/2B5/8/1k6/8 w - - ,209
KQBKQP,7q/7p/8/k7/6BQ/8/8/4K3 w - - ,125
KBKNNP,8/8/8/8/6n1/8/p1n5/k1K3B1 w - - ,19
KBKBNP,1B6/8/8/8/8/8/p1b5/k2K2n1 w - - ,17
KBKRNP,1B6/8/8/8/8/8/p1r5/k1K3n1 w - - ,17
KBKQNP,1B6/8/8/8/8/8/p1q5/k1K3n1 w - - ,17
KBKBBP,8/8/8/8/8/8/p1b5/kbBK4 w - - ,7
KBKRBP,8/8/8/6B1/8/8/p6r/k2K1b2 w - - ,9
KBKQBP,8/8/8/8/8/B7/p7/kbKq4 w - - ,5
KBKRRP,8/8/8/8/8/r7/p3r3/k1K3B1 w - - ,5
KBKQRP,8/8/8/8/8/5q2/p3r3/k1K3B1 w - - ,5
KBKQQP,8/8/8/8/8/3q4/p5qB/k1K5 w - - ,5
KRRRKP,7R/8/5R2/8/8/5R2/1pk5/K7 w - - ,91
KQRRKP,8/R7/8/3Q4/5R2/2k5/1p6/K7 w - - ,89
KRRKNP,8/k7/8/pR6/4K3/2n5/5R2/8 w - - ,131
KRRKBP,8/5R2/8/8/k2K4/1R3b2/3p4/8 w - - ,85
KRRKRP,8/8/8/K7/8/kpR5/2R5/7r w - - ,159
KRRKQP,8/8/1qk1p1K1/8/8/8/3R4/R7 w - - ,89
KQQRKP,7R/8/8/1Q6/7Q/2k5/3p4/2K5 w - - ,73
KQRKNP,8/5R2/8/K7/8/1n6/2p4Q/1k6 w - - ,137
KQRKBP,5K2/3k4/8/8/2R5/b7/Q4p2/8 w - - ,161
KQRKRP,8/1K6/3Q3R/1r6/k7/8/4p3/8 w - - ,225
KQRKQP,4RQ2/8/5K2/3q4/8/3p4/2k5/8 w - - ,205
KRKNNP,2k5/p3K3/5n2/8/8/8/n2R4/8 w - - ,135
KRKBNP,k7/p3b3/4K3/8/8/8/4R3/7n w - - ,133
KRKRNP,k7/p3r3/4K3/8/8/8/4R3/7n w - - ,133
KRKQNP,k7/p3q3/4K3/8/8/8/4R3/7n w - - ,133
KRKBBP,8/7p/8/8/k1b5/2K5/8/b5R1 w - - ,77
KRKRBP,8/7p/8/8/k1r5/2K5/8/b5R1 w - - ,77
KRKQBP,8/7p/8/8/k1q5/2K5/8/b5R1 w - - ,77
KRKRRP,2K5/1p1r4/1k6/8/8/8/1r6/1R6 w - - ,57
KRKQRP,2K5/1p1r4/1k6/8/8/8/1q6/1R6 w - - ,57
KRKQQP,3K4/8/5p2/8/q1k3q1/8/8/R7 w - - ,55
KQQQKP,k7/5Q2/8/4Q3/8/8/1p1Q4/2K5 w - - ,51
KQQKNP,8/8/8/8/7Q/2k5/2pnQ3/1K6 w - - ,119
KQQKBP,8/Q7/8/8/4b3/1k6/5p2/QK6 w - - ,101
KQQKRP,8/8/1pk5/K7/8/8/Qr6/4Q3 w - - ,193
KQQKQP,QQ6/8/8/8/1K4q1/8/4p3/2k5 w - - ,119
KQKNNP,8/6pQ/8/n2k4/8/1n6/8/4K3 w - - ,233
KQKBNP,6Q1/7K/6p1/8/8/k2b4/n7/8 w - - ,445
KQKRNP,7n/5rp1/8/Q7/8/8/2k5/K7 w - - ,327
KQKQNP,8/8/6Q1/8/8/8/4p1n1/Kq1k4 w - - ,125
KQKBBP,8/3k4/8/8/2p2Q2/2b5/4b3/7K w - - ,307
KQKRBP,1b6/8/8/K3p3/8/6Q1/8/2k2r2 w - - ,237
KQKQBP,4q3/3K4/8/8/8/1p4Q1/k2b4/8 w - - ,101
KQKRRP,K7/8/8/5p2/3k4/1Q2r3/8/7r w - - ,215
KQKQRP,8/1q6/7K/2r5/2p5/8/6Q1/1k6 w - - ,207
KQKQQP,K7/8/8/8/8/4p3/Q6q/q1k5 w - - ,57
KKNNNP,,
KKBNNP,,
KKRNNP,,
KKQNNP,,
KKBBNP,,
KKRBNP,,
KKQBNP,,
KKRRNP,,
KKQRNP,,
KKQQNP,,
KKBBBP,,
KKRBBP,,
KKQBBP,,
KKRRBP,,
KKQRBP,,
KKQQBP,,
KKRRRP,,
KKQRRP,,
KKQQRP,,
KKQQQP,,
KNNPPK,N7/N7/6K1/2k5/8/1P6/1P6/8 w - - ,63
KBNPPK,N1k4K/2P5/2P5/B7/8/8/8/8 w - - ,65
KRNPPK,RN6/Pk6/8/8/8/8/P7/7K w - - ,39
KQNPPK,8/8/8/8/8/8/k1PP4/N1QK4 w - - ,25
KNPPKN,N7/8/8/1k6/8/6P1/n5P1/4K3 w - - ,185
KNPPKB,8/8/N1b5/8/k7/8/2P1P3/K7 w - - ,175
KNPPKR,8/k1PN1r2/8/8/8/1P6/8/K7 w - - ,193
KNPPKQ,8/2P5/3N4/8/8/4P2K/k7/q7 w - - ,259
KBBPPK,1B6/8/8/8/8/P1Bk1K2/P7/8 w - - ,49
KRBPPK,8/8/8/8/BR6/kP6/P7/K7 w - - ,31
KQBPPK,K7/8/8/8/8/8/k1PP4/2QB4 w - - ,27
KBPPKN,8/P7/1k6/2n5/B3K3/8/P7/8 w - - ,209
KBPPKB,8/8/k1K5/8/1P6/B7/4P3/7b w - - ,163
KBPPKR,8/4P3/1r6/8/5B2/8/P7/K2k4 w - - ,297
KBPPKQ,8/5B1P/8/8/3k4/7P/4q3/1K6 w - - ,315
KRRPPK,8/8/8/8/1RPR4/2k5/2P5/1K6 w - - ,23
KQRPPK,8/8/8/1Q6/8/1P6/1RP5/k6K w - - ,15
KRPPKN,8/4R3/8/K1k1P3/2n5/4P3/8/8 w - - ,107
KRPPKB,7b/8/8/8/1R6/3P4/2kP4/K7 w - - ,139
KRPPKR,8/8/8/8/1k6/3r2P1/7P/K6R w - - ,189
KRPPKQ,8/k1P5/8/8/1R5P/8/K7/7q w - - ,431
KQQPPK,Q7/QK6/PP6/8/8/8/8/k7 w - - ,9
KQPPKN,8/8/2K5/8/1n6/6P1/Q3P3/2k5 w - - ,87
KQPPKB,8/8/8/8/1k6/2b3P1/1K4P1/Q7 w - - ,67
KQPPKR,6rK/8/8/8/4PP2/8/2Q5/k7 w - - ,107
KQPPKQ,8/3k4/8/7Q/8/P7/7P/4K2q w - - ,363
KPPKNN,8/8/4P3/3k4/1P6/6n1/8/n3K3 w - - ,165
KPPKBN,8/8/8/P6P/K1k5/8/4b3/4n3 w - - ,121
KPPKRN,8/P7/5n2/K7/8/1k3r2/3P4/8 w - - ,221
KPPKQN,4n3/6P1/8/8/8/2K1P3/k4q2/8 w - - ,255
KPPKBB,8/2K5/1P3P2/3k4/8/8/8/bb6 w - - ,173
KPPKRB,8/7P/r7/8/5b2/k7/4P3/K7 w - - ,309
KPPKQB,2b5/q6P/8/8/4K3/4P3/8/k7 w - - ,249
KPPKRR,8/3k1P1P/6K1/8/4r3/8/8/r7 w - - ,297
KPPKQR,2r5/1P6/7q/8/8/4P3/3K4/k7 w - - ,247
KPPKQQ,2q5/1P6/7q/8/8/4P3/3K4/k7 w - - ,247
KNNPKP,1N6/8/p7/8/2Pk4/8/8/1K4N1 w - - ,227
KBNPKP,8/8/3K4/8/8/1P6/1pk5/5B1N w - - ,205
KRNPKP,5N2/8/4K3/4P3/3k4/1R6/2p5/8 w - - ,241
KQNPKP,8/8/8/8/5Q2/4P3/1pN5/K1k5 w - - ,229
KNPKNP,n7/2PK3p/8/8/8/8/1k3N2/8 w - - ,207
KNPKBP,8/7P/8/3K3b/k2N4/8/1p6/8 w - - ,213
KNPKRP,8/pP6/k2N4/8/4r3/K7/8/8 w - - ,215
KNPKQP,8/1k1P1q2/7p/8/8/N7/8/4K3 w - - ,221
KBBPKP,8/8/P6K/1B6/8/3B4/1k4p1/8 w - - ,193
KRBPKP,8/8/3P4/8/1R2K3/7B/4p3/k7 w - - ,239
KQBPKP,3B4/8/8/8/8/4P1Q1/1p6/K1k5 w - - ,223
KBPKNP,8/5P2/8/2n5/1k6/8/1p1K4/3B4 w - - ,319
KBPKBP,8/P7/8/8/1k6/8/1p1K1b2/3B4 w - - ,139
KBPKRP,K7/8/4B2P/8/5p2/4r3/2k5/8 w - - ,207
KBPKQP,8/7p/8/8/8/K7/4B2P/1k1q4 w - - ,135
KRRPKP,8/k7/8/8/2R3RP/8/7p/4K3 w - - ,435
KQRPKP,5Q1R/8/8/8/8/8/1p2P3/K1k5 w - - ,247
KRPKNP,3n4/1P6/2k5/8/8/8/4K1p1/7R w - - ,395
KRPKBP,8/1P2R3/k7/8/8/8/2p5/1b5K w - - ,331
KRPKRP,8/7P/1K5R/8/1r1k4/8/4p3/8 w - - ,231
KRPKQP,4R3/5P2/5K2/3q4/1k6/3p4/8/8 w - - ,207
KQQPKP,8/8/8/Q7/6Q1/8/1p1P4/K1k5 w - - ,217
KQPKNP,8/n7/8/1K6/8/4PQ2/1p6/k7 w - - ,249
KQPKBP,4b3/8/8/Q7/8/1k2P3/1p6/2K5 w - - ,251
KQPKRP,8/8/8/1K6/2Q5/1r2P3/1k4p1/8 w - - ,251
KQPKQP,8/3q4/2p4P/8/7Q/1k6/8/K7 w - - ,301
KPKNNP,8/8/p4KP1/8/8/8/7n/k2n4 w - - ,233
KPKBNP,K7/P7/1p6/8/6n1/2b5/8/3k4 w - - ,447
KPKRNP,7n/1r2P3/6p1/8/8/8/3k4/K7 w - - ,327
KPKQNP,8/4q3/3K4/1p5P/8/8/1n6/k7 w - - ,115
KPKBBP,8/3k1P2/8/8/2p5/2b5/8/3b3K w - - ,309
KPKRBP,1b4r1/P7/8/4p3/8/8/3k4/K7 w - - ,231
KPKQBP,4q3/3K2P1/8/8/1p6/8/3b4/k7 w - - ,101
KPKRRP,K7/2P5/8/2k2p2/8/4r3/8/7r w - - ,213
KPKQRP,K6q/6P1/4r3/8/5p2/8/2k5/8 w - - ,205
KPKQQP,1K5q/6P1/8/8/3k4/8/3p4/q7 w - - ,55
KNNKPP,N7/pp6/8/8/8/K7/8/1Nk5 w - - ,259
KBNKPP,k1K5/7p/6NB/8/8/5p2/8/8 w - - ,247
KRNKPP,8/2K5/R6N/8/8/2p5/5p2/3k4 w - - ,375
KQNKPP,8/3k4/3N1p2/6K1/8/8/p2Q4/8 w - - ,125
KNKNPP,2N5/2p5/8/8/8/p7/2n5/k1K5 w - - ,33
KNKBPP,1b6/2p5/8/8/1N6/p7/8/k1K5 w - - ,35
KNKRPP,2N5/2p5/8/8/8/p7/2r5/k1K5 w - - ,33
KNKQPP,2N5/2p5/8/8/8/p7/2q5/k1K5 w - - ,33
KBBKPP,B7/B7/8/5p2/8/2p5/1K1k4/8 w - - ,207
KRBKPP,8/8/8/8/B7/3k4/2Rp1p1K/8 w - - ,415
KQBKPP,8/8/8/4K3/8/8/p1B1Q2p/2k5 w - - ,91
KBKNPP,8/8/8/8/8/4p3/p2n4/k1K1B3 w - - ,37
KBKBPP,8/B7/8/4p3/8/8/p6b/k1K5 w - - ,11
KBKRPP,8/8/8/r1p5/8/4B3/p7/k1K5 w - - ,11
KBKQPP,8/8/8/1p6/8/8/p2B4/k1K1q3 w - - ,7
KRRKPP,8/8/k7/p7/1K6/3R4/2p1R3/8 w - - ,95
KQRKPP,8/8/4QR2/8/8/4p3/1pk5/K7 w - - ,193
KRKNPP,k7/p7/8/1R6/pK6/5n2/8/8 w - - ,143
KRKBPP,k3b3/8/8/1K3p2/8/1p4R1/8/8 w - - ,93
KRKRPP,8/5p2/2R5/8/8/8/k1r1p3/3K4 w - - ,83
KRKQPP,8/5p2/2R5/8/8/8/k1q1p3/3K4 w - - ,83
KQQKPP,6Q1/8/8/8/8/8/1pkp2Q1/K7 w - - ,79
KQKNPP,2Q5/8/8/4p3/8/8/n1p5/3k1K2 w - - ,197
KQKBPP,8/Q7/1p6/2b5/8/8/3p4/K1k5 w - - ,427
KQKRPP,7Q/2k2pp1/8/6r1/8/8/8/7K w - - ,241
KQKQPP,8/8/5K2/2p5/Q7/3p4/6q1/2k5 w - - ,87
KKNNPP,,
KKBNPP,,
KKRNPP,,
KKQNPP,,
KKBBPP,,
KKRBPP,,
KKQBPP,,
KKRRPP,,
KKQRPP,,
KKQQPP,,
KNPPPK,N7/1k5K/8/8/1P6/1P6/1P6/8 w - - ,63
KBPPPK,8/1P6/kB6/8/P7/8/P7/7K w - - ,51
KRPPPK,8/1R6/2k5/2P5/8/3P4/3P4/7K w - - ,29
KQPPPK,8/8/8/8/8/2P5/k1PP4/2QK4 w - - ,25
KPPPKN,8/2P5/3k1n2/8/4K3/6P1/6P1/8 w - - ,173
KPPPKB,8/1P1k4/8/4K3/8/8/P3Pb2/8 w - - ,155
KPPPKR,8/2P5/2P1r3/k7/8/2K5/5P2/8 w - - ,139
KPPPKQ,k7/6P1/8/8/4q3/P7/5K1P/8 w - - ,355
KNPPKP,8/8/2PN4/8/6K1/4P3/k4p2/8 w - - ,261
KBPPKP,8/8/8/7B/4p2P/K2k3P/8/8 w - - ,301
KRPPKP,8/k1P5/8/8/1R5P/8/7p/3K4 w - - ,421
KQPPKP,8/8/8/Q7/8/8/1Pp1P3/1k1K4 w - - ,245
KPPKNP,8/8/8/4P3/1p6/4P3/k7/3nK3 w - - ,255
KPPKBP,8/8/8/1p6/4P3/2b1P3/k1K5/8 w - - ,255
KPPKRP,8/8/8/1p6/4P3/2r1P3/k1K5/8 w - - ,255
KPPKQP,8/P7/2p4P/3q4/k7/8/8/K7 w - - ,293
KNPKPP,8/p7/kP6/N7/K7/p7/8/8 w - - ,215
KBPKPP,8/1p6/8/7p/8/8/1k5P/3K1B2 w - - ,161
KRPKPP,8/1R3K2/8/4p3/8/2Pp4/3k4/8 w - - ,205
KQPKPP,2k5/2p5/1K6/7P/7Q/8/6p1/8 w - - ,281
KPKNPP,8/1p6/3P4/3k4/6n1/2K5/3p4/8 w - - ,217
KPKBPP,8/8/6p1/1P6/4p3/1k5K/2b5/8 w - - ,423
KPKRPP,8/5ppP/1k6/6r1/8/8/8/7K w - - ,243
KPKQPP,8/P7/8/4q3/2pK4/3p4/8/k7 w - - ,85
KNKPPP,8/2p5/3p4/5N2/8/p7/8/k1K5 w - - ,41
KBKPPP,8/8/2p5/3p4/8/1K6/p7/k3B3 w - - ,11
KRKPPP,8/8/8/R1p3p1/3K4/8/5p2/2k5 w - - ,105
KQKPPP,8/1K6/5Q2/2p5/8/8/3p3p/2k5 w - - ,135
KKNPPP,,
KKBPPP,,
KKRPPP,,
KKQPPP,,
KPPPPK,K7/8/8/2kP4/6P1/6P1/6P1/8 w - - ,65
KPPPKP,8/k7/5P2/6K1/8/P1p5/7P/8 w - - ,341
KPPKPP,8/8/2p4P/5P2/1k6/4p3/K7/8 w - - ,281
KPKPPP,8/1K6/2p4P/8/8/3p3p/1k6/8 w - - ,137
KKPPPP,,
